File ID,Rep ID,Spp,Orig Temp,Treatment ,Cell count,Date,,,
PcB_261121,R1,PcB,C,23,"1,506",26/11/2021,,,
PcB_261121,R2,PcB,C,23,"1,519",26/11/2021,,,
PcB_261121,R3,PcB,C,23,"1,560",26/11/2021,,,
PcB_261121,R4,PcB,C,23,"1,617",26/11/2021,,,
PcB_261121,R5,PcB,C,23,"1,557",26/11/2021,,,
PcB_261121,R6,PcB,C,23,"1,575",26/11/2021,,,
PcB_261121,R1,PcB,C,29,"1,549",26/11/2021,,,
PcB_261121,R2,PcB,C,29,"1,542",26/11/2021,,,
PcB_261121,R3,PcB,C,29,"1,623",26/11/2021,,,
PcB_261121,R4,PcB,C,29,"1,645",26/11/2021,,,
PcB_261121,R5,PcB,C,29,"1,566",26/11/2021,,,
PcB_261121,R6,PcB,C,29,"1,522",26/11/2021,,,
PcB_031221,R1,PcB,C,23,"84,227",03/12/2021,,,
PcB_031221,R2,PcB,C,23,"88,236",03/12/2021,,,
PcB_031221,R3,PcB,C,23,"87,097",03/12/2021,,,
PcB_031221,R4,PcB,C,23,"84,247",03/12/2021,,,
PcB_031221,R5,PcB,C,23,"84,202",03/12/2021,,,
PcB_031221,R6,PcB,C,23,"83,561",03/12/2021,,,
PcB_031221,R1,PcB,C,29,"6,388",03/12/2021,,,
PcB_031221,R2,PcB,C,29,"7,501",03/12/2021,,,
PcB_031221,R3,PcB,C,29,"5,033",03/12/2021,,,
PcB_031221,R4,PcB,C,29,"6,818",03/12/2021,,,
PcB_031221,R5,PcB,C,29,"7,582",03/12/2021,,,
PcB_031221,R6,PcB,C,29,"8,520",03/12/2021,,,
PcB_091221,R1,PcB,C,23,"55,952",09/12/2021,,,
PcB_091221,R2,PcB,C,23,"54,651",09/12/2021,,,
PcB_091221,R3,PcB,C,23,"72,156",09/12/2021,,,
PcB_091221,R4,PcB,C,23,"50,379",09/12/2021,,,
PcB_091221,R5,PcB,C,23,"81,484",09/12/2021,,,
PcB_091221,R6,PcB,C,23,"67,589",09/12/2021,,,
PcB_101221,R1,PcB,C,29,"5,741",10/12/2021,,,
PcB_101221,R2,PcB,C,29,"6,655",10/12/2021,,,
PcB_101221,R3,PcB,C,29,"4,581",10/12/2021,,,
PcB_101221,R4,PcB,C,29,"7,175",10/12/2021,,,
PcB_101221,R5,PcB,C,29,"7,895",10/12/2021,,,
PcB_101221,R6,PcB,C,29,"4,151",10/12/2021,,,
PcB_161221,R1,PcB,C,23,"41,948",16/12/2021,,,
PcB_161221,R2,PcB,C,23,"48,124",16/12/2021,,,
PcB_161221,R3,PcB,C,23,"61,488",16/12/2021,,,
PcB_161221,R4,PcB,C,23,"62,478",16/12/2021,,,
PcB_161221,R5,PcB,C,23,"61,523",16/12/2021,,,
PcB_161221,R6,PcB,C,23,"53,710",16/12/2021,,,
PcB_,R1,PcB,C,29,na,,,,
PcB_,R2,PcB,C,29,na,,,,
PcB_,R3,PcB,C,29,na,,,,
PcB_,R4,PcB,C,29,na,,,,
PcB_,R5,PcB,C,29,na,,,,
PcB_,R6,PcB,C,29,na,,,,
PcB_221221,R1,PcB,C,23,"53,521",22/12/2021,,,
PcB_221221,R2,PcB,C,23,"60,015",22/12/2021,,,
PcB_221221,R3,PcB,C,23,"56,575",22/12/2021,,,
PcB_221221,R4,PcB,C,23,"63,400",22/12/2021,,,
PcB_221221,R5,PcB,C,23,"54,920",22/12/2021,,,
PcB_221221,R6,PcB,C,23,"62,564",22/12/2021,,,
PcB_221221,R1,PcB,C,29,"74,140",22/12/2021,,,
PcB_221221,R2,PcB,C,29,"129,518",22/12/2021,,,
PcB_221221,R3,PcB,C,29,"158,498",22/12/2021,,,
PcB_221221,R4,PcB,C,29,"110,465",22/12/2021,,,
PcB_221221,R5,PcB,C,29,"130,470",22/12/2021,,,
PcB_221221,R6,PcB,C,29,"133,316",22/12/2021,,,
PcB_301221,R1,PcB,C,23,"211,030",30/12/2021,,,
PcB_301221,R2,PcB,C,23,"216,330",30/12/2021,,,
PcB_301221,R3,PcB,C,23,"200,000",30/12/2021,,,
PcB_301221,R4,PcB,C,23,"189,310",30/12/2021,,,
PcB_301221,R5,PcB,C,23,"189,730",30/12/2021,,,
PcB_301221,R6,PcB,C,23,"154,260",30/12/2021,,,
PcB_301221,R1,PcB,C,29,na,30/12/2021,,,
PcB_301221,R2,PcB,C,29,na,30/12/2021,,,
PcB_301221,R3,PcB,C,29,na,30/12/2021,,,
PcB_301221,R4,PcB,C,29,na,30/12/2021,,,
PcB_301221,R5,PcB,C,29,na,30/12/2021,,,
PcB_301221,R6,PcB,C,29,na,30/12/2021,,,
PcB_060122,R1,PcB,C,23,"117,636",06/01/2022,,,
PcB_060122,R2,PcB,C,23,"114,994",06/01/2022,,,
PcB_060122,R3,PcB,C,23,"114,597",06/01/2022,,,
PcB_060122,R4,PcB,C,23,"114,005",06/01/2022,,,
PcB_060122,R5,PcB,C,23,"117,599",06/01/2022,,,
PcB_060122,R6,PcB,C,23,"126,638",06/01/2022,,,
PcB_060122,R1,PcB,C,29,"100,055",06/01/2022,,,
PcB_060122,R2,PcB,C,29,"76,702",06/01/2022,,,
PcB_060122,R3,PcB,C,29,"96,901",06/01/2022,,,
PcB_060122,R4,PcB,C,29,"81,129",06/01/2022,,,
PcB_060122,R5,PcB,C,29,"87,114",06/01/2022,,,
PcB_060122,R6,PcB,C,29,"59,166",06/01/2022,,,
PcB_130122,R1,PcB,C,23,"113,872",13/01/2022,,,
PcB_130122,R2,PcB,C,23,"118,763",13/01/2022,,,
PcB_130122,R3,PcB,C,23,"123,644",13/01/2022,,,
PcB_130122,R4,PcB,C,23,"115,267",13/01/2022,,,
PcB_130122,R5,PcB,C,23,"114,688",13/01/2022,,,
PcB_130122,R6,PcB,C,23,"109,668",13/01/2022,,,
PcB_130122,R1,PcB,C,29,"23,270",13/01/2022,,,
PcB_130122,R2,PcB,C,29,"7,966",13/01/2022,,,
PcB_130122,R3,PcB,C,29,"24,417",13/01/2022,,,
PcB_130122,R4,PcB,C,29,"6,675",13/01/2022,,,
PcB_130122,R5,PcB,C,29,"13,603",13/01/2022,,,
PcB_130122,R6,PcB,C,29,"15,895",13/01/2022,,,
PcB_200122,R1,PcB,C,23,"63,921",20/01/2022,,,
PcB_200122,R2,PcB,C,23,"58,381",20/01/2022,,,
PcB_200122,R3,PcB,C,23,"71,184",20/01/2022,,,
PcB_200122,R4,PcB,C,23,"68,307",20/01/2022,,,
PcB_200122,R5,PcB,C,23,"63,904",20/01/2022,,,
PcB_200122,R6,PcB,C,23,"66,999",20/01/2022,,,
PcB_200122,R1,PcB,C,29,"20,442",20/01/2022,,,
PcB_200122,R2,PcB,C,29,"20,233",20/01/2022,,,
PcB_200122,R3,PcB,C,29,"15,226",20/01/2022,,,
PcB_200122,R4,PcB,C,29,"26,153",20/01/2022,,,
PcB_200122,R5,PcB,C,29,"19,144",20/01/2022,,,
PcB_200122,R6,PcB,C,29,"19,353",20/01/2022,,,
PcB_270122,R1,PcB,C,23,"70,422",27/01/2022,,,
PcB_270122,R2,PcB,C,23,"70,185",27/01/2022,,,
PcB_270122,R3,PcB,C,23,"93,847",27/01/2022,,,
PcB_270122,R4,PcB,C,23,"90,491",27/01/2022,,,
PcB_270122,R5,PcB,C,23,"81,389",27/01/2022,,,
PcB_270122,R6,PcB,C,23,"85,724",27/01/2022,,,
PcB_270122,R1,PcB,C,29,"17,824",27/01/2022,,,
PcB_270122,R2,PcB,C,29,"15,979",27/01/2022,,,
PcB_270122,R3,PcB,C,29,"17,644",27/01/2022,,,
PcB_270122,R4,PcB,C,29,"21,724",27/01/2022,,,
PcB_270122,R5,PcB,C,29,"19,308",27/01/2022,,,
PcB_270122,R6,PcB,C,29,"17,578",27/01/2022,,,
PcB_030222,R1,PcB,C,23,"110,126",03/02/2022,,,
PcB_030222,R2,PcB,C,23,"58,118",03/02/2022,,,
PcB_030222,R3,PcB,C,23,"106,697",03/02/2022,,,
PcB_030222,R4,PcB,C,23,"106,764",03/02/2022,,,
PcB_030222,R5,PcB,C,23,"108,280",03/02/2022,,,
PcB_030222,R6,PcB,C,23,"108,656",03/02/2022,,,
PcB_030222,R1,PcB,C,29,"34,202",03/02/2022,,,
PcB_030222,R2,PcB,C,29,"36,421",03/02/2022,,,
PcB_030222,R3,PcB,C,29,"42,988",03/02/2022,,,
PcB_030222,R4,PcB,C,29,"29,511",03/02/2022,,,
PcB_030222,R5,PcB,C,29,"37,189",03/02/2022,,,
PcB_030222,R6,PcB,C,29,"38,469",03/02/2022,,,
PcB_100222,R1,PcB,C,23,"108,828",10/02/2022,,,
PcB_100222,R2,PcB,C,23,"95,308",10/02/2022,,,
PcB_100222,R3,PcB,C,23,"110,102",10/02/2022,,,
PcB_100222,R4,PcB,C,23,"103,916",10/02/2022,,,
PcB_100222,R5,PcB,C,23,"117,327",10/02/2022,,,
PcB_100222,R6,PcB,C,23,"110,690",10/02/2022,,,
PcB_100222,R1,PcB,C,29,"51,464",10/02/2022,,,
PcB_100222,R2,PcB,C,29,"44,951",10/02/2022,,,
PcB_100222,R3,PcB,C,29,"32,188",10/02/2022,,,
PcB_100222,R4,PcB,C,29,"46,277",10/02/2022,,,
PcB_100222,R5,PcB,C,29,"35,733",10/02/2022,,,
PcB_100222,R6,PcB,C,29,"17,743",10/02/2022,,,
PcB_170222,R1,PcB,C,23,"156,288",17/02/2022,,,
PcB_170222,R2,PcB,C,23,"147,932",17/02/2022,,,
PcB_170222,R3,PcB,C,23,"145,402",17/02/2022,,,
PcB_170222,R4,PcB,C,23,"152,714",17/02/2022,,,
PcB_170222,R5,PcB,C,23,"154,681",17/02/2022,,,
PcB_170222,R6,PcB,C,23,"153,043",17/02/2022,,,
PcB_170222,R1,PcB,C,29,"20,910",17/02/2022,,,
PcB_170222,R2,PcB,C,29,"22,370",17/02/2022,,,
PcB_170222,R3,PcB,C,29,"29,088",17/02/2022,,,
PcB_170222,R4,PcB,C,29,"45,036",17/02/2022,,,
PcB_170222,R5,PcB,C,29,"38,956",17/02/2022,,,
PcB_170222,R6,PcB,C,29,"37,462",17/02/2022,,,
PcB_240222,R1,PcB,C,23,"85,899",24/02/2022,,,
PcB_240222,R2,PcB,C,23,"78,815",24/02/2022,,,
PcB_240222,R3,PcB,C,23,"84,212",24/02/2022,,,
PcB_240222,R4,PcB,C,23,"89,696",24/02/2022,,,
PcB_240222,R5,PcB,C,23,"82,939",24/02/2022,,,
PcB_240222,R6,PcB,C,23,"97,446",24/02/2022,,,
PcB_240222,R1,PcB,C,29,"10,213",24/02/2022,,,
PcB_240222,R2,PcB,C,29,"14,892",24/02/2022,,,
PcB_240222,R3,PcB,C,29,"11,839",24/02/2022,,,
PcB_240222,R4,PcB,C,29,"17,393",24/02/2022,,,
PcB_240222,R5,PcB,C,29,"17,149",24/02/2022,,,
PcB_240222,R6,PcB,C,29,"22,316",24/02/2022,,,
PcB_040322,R1,PcB,C,23,"143,355",04/03/2022,,,
PcB_040322,R2,PcB,C,23,"120,992",04/03/2022,,,
PcB_040322,R3,PcB,C,23,"147,984",04/03/2022,,,
PcB_040322,R4,PcB,C,23,"136,854",04/03/2022,,,
PcB_040322,R5,PcB,C,23,"142,710",04/03/2022,,,
PcB_040322,R6,PcB,C,23,"152,779",04/03/2022,,,
PcB_040322,R1,PcB,C,29,"42,610",04/03/2022,,,
PcB_040322,R2,PcB,C,29,"42,383",04/03/2022,,,
PcB_040322,R3,PcB,C,29,"39,487",04/03/2022,,,
PcB_040322,R4,PcB,C,29,"35,858",04/03/2022,,,
PcB_040322,R5,PcB,C,29,"39,534",04/03/2022,,,
PcB_040322,R6,PcB,C,29,"29,658",04/03/2022,,,
PcB_110322,R1,PcB,C,23,"124,751",11/03/2022,,,
PcB_110322,R2,PcB,C,23,"111,864",11/03/2022,,,
PcB_110322,R3,PcB,C,23,"103,646",11/03/2022,,,
PcB_110322,R4,PcB,C,23,"135,242",11/03/2022,,,
PcB_110322,R5,PcB,C,23,"109,917",11/03/2022,,,
PcB_110322,R6,PcB,C,23,"122,563",11/03/2022,,,
PcB_110322,R1,PcB,C,29,"43,998",11/03/2022,,,
PcB_110322,R2,PcB,C,29,"55,911",11/03/2022,,,
PcB_110322,R3,PcB,C,29,"50,333",11/03/2022,,,
PcB_110322,R4,PcB,C,29,"62,884",11/03/2022,,,
PcB_110322,R5,PcB,C,29,"57,627",11/03/2022,,,
PcB_110322,R6,PcB,C,29,"55,310",11/03/2022,,,
PcB_310322,R1,PcB,C,23,"161,139",31/03/2022,,,
PcB_310322,R2,PcB,C,23,"143,975",31/03/2022,,,
PcB_310322,R3,PcB,C,23,"159,108",31/03/2022,,,
PcB_310322,R4,PcB,C,23,"133,244",31/03/2022,,,
PcB_310322,R5,PcB,C,23,"133,362",31/03/2022,,,
PcB_310322,R6,PcB,C,23,"159,691",31/03/2022,,,
PcB_310322,R1,PcB,C,29,"47,631",31/03/2022,,,
PcB_310322,R2,PcB,C,29,"48,754",31/03/2022,,,
PcB_310322,R3,PcB,C,29,"52,538",31/03/2022,,,
PcB_310322,R4,PcB,C,29,"59,092",31/03/2022,,,
PcB_310322,R5,PcB,C,29,"57,211",31/03/2022,,,
PcB_310322,R6,PcB,C,29,"53,262",31/03/2022,,,
PcB_060422,R1,PcB,C,23,"23,640",06/04/2022,,,
PcB_060422,R2,PcB,C,23,"66,892",06/04/2022,,,
PcB_060422,R3,PcB,C,23,"13,518",06/04/2022,,,
PcB_060422,R4,PcB,C,23,"13,448",06/04/2022,,,
PcB_060422,R5,PcB,C,23,"13,472",06/04/2022,,,
PcB_060422,R6,PcB,C,23,"12,111",06/04/2022,,,
PcB_060422,R1,PcB,C,29,"8,503",06/04/2022,,,
PcB_060422,R2,PcB,C,29,"8,660",06/04/2022,,,
PcB_060422,R3,PcB,C,29,"6,684",06/04/2022,,,
PcB_060422,R4,PcB,C,29,"7,410",06/04/2022,,,
PcB_060422,R5,PcB,C,29,"8,354",06/04/2022,,,
PcB_060422,R6,PcB,C,29,"9,208",06/04/2022,,,
PcB_130422,R1,PcB,C,23,"21,927",13/04/2022,,,
PcB_130422,R2,PcB,C,23,"8,804",13/04/2022,,,
PcB_130422,R3,PcB,C,23,"41,440",13/04/2022,,,
PcB_130422,R4,PcB,C,23,"44,825",13/04/2022,,,
PcB_130422,R5,PcB,C,23,"38,373",13/04/2022,,,
PcB_130422,R6,PcB,C,23,"40,482",13/04/2022,,,
PcB_130422,R1,PcB,C,29,na,13/04/2022,,,
PcB_130422,R2,PcB,C,29,"47,801",13/04/2022,,,
PcB_130422,R3,PcB,C,29,"36,825",13/04/2022,,,
PcB_130422,R4,PcB,C,29,"40,452",13/04/2022,,,
PcB_130422,R5,PcB,C,29,"41,379",13/04/2022,,,
PcB_130422,R6,PcB,C,29,"33,242",13/04/2022,,,
PcB_210422,R1,PcB,C,23,"137,174",21/04/2022,,,
PcB_210422,R2,PcB,C,23,"145,049",21/04/2022,,,
PcB_210422,R3,PcB,C,23,"135,315",21/04/2022,,,
PcB_210422,R4,PcB,C,23,"144,494",21/04/2022,,,
PcB_210422,R5,PcB,C,23,"135,039",21/04/2022,,,
PcB_210422,R6,PcB,C,23,"119,250",21/04/2022,,,
PcB_210422,R1,PcB,C,29,917440,21/04/2022,,,
PcB_210422,R2,PcB,C,29,"76,636",21/04/2022,,,
PcB_210422,R3,PcB,C,29,"92,504",21/04/2022,,,
PcB_210422,R4,PcB,C,29,"106,285",21/04/2022,,,
PcB_210422,R5,PcB,C,29,"80,163",21/04/2022,,,
PcB_210422,R6,PcB,C,29,"103,845",21/04/2022,,,
PcB_280422,R1,PcB,C,23,"111,547",28/04/2022,,,
PcB_280422,R2,PcB,C,23,"101,933",28/04/2022,,,
PcB_280422,R3,PcB,C,23,"111,997",28/04/2022,,,
PcB_280422,R4,PcB,C,23,"110,758",28/04/2022,,,
PcB_280422,R5,PcB,C,23,"109,341",28/04/2022,,,
PcB_280422,R6,PcB,C,23,"53,206",28/04/2022,,,
PcB_280422,R1,PcB,C,29,na,28/04/2022,,,
PcB_280422,R2,PcB,C,29,"41,140",28/04/2022,,,
PcB_280422,R3,PcB,C,29,"31,743",28/04/2022,,,
PcB_280422,R4,PcB,C,29,"39,923",28/04/2022,,,
PcB_280422,R5,PcB,C,29,"28,370",28/04/2022,,,
PcB_280422,R6,PcB,C,29,"36,682",28/04/2022,,,
PcB_060522,R1,PcB,C,23,"157,670",06/05/2022,,,
PcB_060522,R2,PcB,C,23,"137,541",06/05/2022,,,
PcB_060522,R3,PcB,C,23,"150,053",06/05/2022,,,
PcB_060522,R4,PcB,C,23,"154,235",06/05/2022,,,
PcB_060522,R5,PcB,C,23,"126,568",06/05/2022,,,
PcB_060522,R6,PcB,C,23,"147,398",06/05/2022,,,
PcB_060522,R1,PcB,C,29,"44,260",06/05/2022,,,
PcB_060522,R2,PcB,C,29,"44,736",06/05/2022,,,
PcB_060522,R3,PcB,C,29,"6,893",06/05/2022,,,
PcB_060522,R4,PcB,C,29,"61,073",06/05/2022,,,
PcB_060522,R5,PcB,C,29,"33,834",06/05/2022,,,
PcB_060522,R6,PcB,C,29,"49,214",06/05/2022,,,
PcB_130522,R1,PcB,C,23,"43,667",13/05/2022,,,
PcB_130522,R2,PcB,C,23,"57,482",13/05/2022,,,
PcB_130522,R3,PcB,C,23,"40,335",13/05/2022,,,
PcB_130522,R4,PcB,C,23,"46,266",13/05/2022,,,
PcB_130522,R5,PcB,C,23,"55,048",13/05/2022,,,
PcB_130522,R6,PcB,C,23,"41,218",13/05/2022,,,
PcB_130522,R1,PcB,C,29,"8,898",13/05/2022,,,
PcB_130522,R2,PcB,C,29,"11,590",13/05/2022,,,
PcB_130522,R3,PcB,C,29,"15,773",13/05/2022,,,
PcB_130522,R4,PcB,C,29,"9,157",13/05/2022,,,
PcB_130522,R5,PcB,C,29,"9,563",13/05/2022,,,
PcB_130522,R6,PcB,C,29,"10,512",13/05/2022,,,
PcB_200522,R1,PcB,C,23,"117,081",20/05/2022,,,
PcB_200522,R2,PcB,C,23,"88,751",20/05/2022,,,
PcB_200522,R3,PcB,C,23,"155,515",20/05/2022,,,
PcB_200522,R4,PcB,C,23,"78,397",20/05/2022,,,
PcB_200522,R5,PcB,C,23,"127,868",20/05/2022,,,
PcB_200522,R6,PcB,C,23,"149,733",20/05/2022,,,
PcB_200522,R1,PcB,C,29,"24,051",20/05/2022,,,
PcB_200522,R2,PcB,C,29,"43,283",20/05/2022,,,
PcB_200522,R3,PcB,C,29,"58,832",20/05/2022,,,
PcB_200522,R4,PcB,C,29,"41,606",20/05/2022,,,
PcB_200522,R5,PcB,C,29,"33,577",20/05/2022,,,
PcB_200522,R6,PcB,C,29,"49,703",20/05/2022,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
