File ID ,Rep ID,Spp,Orig Temp,Treatment ,,Timepoint,Cell count,Dilution ,Actual Cell count,Cell
PcB_Recip_T0_030222,R1,PcB,23c,Control,,T0,2179,1,2179,A01
PcB_Recip_T0_030222,R2,PcB,23c,Control,,T0 ,2108,1,2108,A02
PcB_Recip_T0_030222,R3,PcB,23c,Control,,T0,2067,1,2067,A03
PcB_Recip_T0_030222,R4,PcB,23c,Control,,T0,2125,1,2125,A04
PcB_Recip_T0_030222,R5,PcB,23c,Control,,T0,2015,1,2015,A05
PcB_Recip_T0_030222,R6,PcB,23c,Control,,T0,2102,1,2102,A06
PcB_Recip_T0_030222,R1,PcB,29c,Control,,T0,2137,1,2137,A07
PcB_Recip_T0_030222,R2,PcB,29c,Control,,T0,1939,1,1939,A08
PcB_Recip_T0_030222,R3,PcB,29c,Control,,T0,1961,1,1961,A09
PcB_Recip_T0_030222,R4,PcB,29c,Control,,T0,2107,1,2107,A10
PcB_Recip_T0_030222,R5,PcB,29c,Control,,T0,2067,1,2067,A11
PcB_Recip_T0_030222,R6,PcB,29c,Control,,T0,1992,1,1992,A12
PcB_Recip_T0_030222,R1,PcB,23c,recip,29,T0,1965,1,1965,B01
PcB_Recip_T0_030222,R2,PcB,23c,recip,29,T0,1894,1,1894,B02
PcB_Recip_T0_030222,R3,PcB,23c,recip,29,T0,2057,1,2057,B03
PcB_Recip_T0_030222,R4,PcB,23c,recip,29,T0,2081,1,2081,B04
PcB_Recip_T0_030222,R5,PcB,23c,recip,29,T0,2162,1,2162,B05
PcB_Recip_T0_030222,R6,PcB,23c,recip,29,T0,2112,1,2112,B06
PcB_Recip_T0_030222,R1,PcB,29c,recip,23,T0,1954,1,1954,B07
PcB_Recip_T0_030222,R2,PcB,29c,recip,23,T0,2004,1,2004,B08
PcB_Recip_T0_030222,R3,PcB,29c,recip,23,T0,1999,1,1999,B09
PcB_Recip_T0_030222,R4,PcB,29c,recip,23,T0,2092,1,2092,B10
PcB_Recip_T0_030222,R5,PcB,29c,recip,23,T0,2098,1,2098,B11
PcB_Recip_T0_030222,R6,PcB,29c,recip,23,T0,2022,1,2022,B12
PcB_Recip_T1_040222,R1,PcB,23c,Control,,#REF!,2989,1,2989,A01
PcB_Recip_T1_040222,R2,PcB,23c,Control,,#REF!,2810,1,2810,A02
PcB_Recip_T1_040222,R3,PcB,23c,Control,,#REF!,2885,1,2885,A03
PcB_Recip_T1_040222,R4,PcB,23c,Control,,#REF!,3030,1,3030,A04
PcB_Recip_T1_040222,R5,PcB,23c,Control,,#REF!,2884,1,2884,A05
PcB_Recip_T1_040222,R6,PcB,23c,Control,,#REF!,2974,1,2974,A06
PcB_Recip_T1_040222,R1,PcB,29c,Control,,#REF!,2937,1,2937,A07
PcB_Recip_T1_040222,R2,PcB,29c,Control,,#REF!,2630,1,2630,A08
PcB_Recip_T1_040222,R3,PcB,29c,Control,,#REF!,2133,1,2133,A09
PcB_Recip_T1_040222,R4,PcB,29c,Control,,#REF!,2782,1,2782,A10
PcB_Recip_T1_040222,R5,PcB,29c,Control,,#REF!,2444,1,2444,A11
PcB_Recip_T1_040222,R6,PcB,29c,Control,,#REF!,1942,1,1942,A12
PcB_Recip_T1_040222,R1,PcB,23c,recip,29,#REF!,2939,1,2939,B01
PcB_Recip_T1_040222,R2,PcB,23c,recip,29,#REF!,2969,1,2969,B02
PcB_Recip_T1_040222,R3,PcB,23c,recip,29,#REF!,3022,1,3022,B03
PcB_Recip_T1_040222,R4,PcB,23c,recip,29,#REF!,2788,1,2788,B04
PcB_Recip_T1_040222,R5,PcB,23c,recip,29,#REF!,2897,1,2897,B05
PcB_Recip_T1_040222,R6,PcB,23c,recip,29,#REF!,3228,1,3228,B06
PcB_Recip_T1_040222,R1,PcB,29c,recip,23,#REF!,2735,1,2735,B07
PcB_Recip_T1_040222,R2,PcB,29c,recip,23,#REF!,2700,1,2700,B08
PcB_Recip_T1_040222,R3,PcB,29c,recip,23,#REF!,2664,1,2664,B09
PcB_Recip_T1_040222,R4,PcB,29c,recip,23,#REF!,2845,1,2845,B10
PcB_Recip_T1_040222,R5,PcB,29c,recip,23,#REF!,2902,1,2902,B11
PcB_Recip_T1_040222,R6,PcB,29c,recip,23,#REF!,2757,1,2757,B12
PcB_Recip_T2_050222,R1,PcB,23c,Control,,T2,6326,1,6326,A01
