File ID,Rep ID,Treatment,Spp,Timepoint,Cell count,Dilution ,Actual Cell count
Pc_TPC_T0_181021,R1,15c,PcB,T0,1486,1,1486
Pc_TPC_T0_181021,R2,15c,PcB,T0,1454,1,1454
Pc_TPC_T0_181021,R3,15c,PcB,T0,1534,1,1534
Pc_TPC_T0_181021,R1,18c,PcB,T0,1368,1,1368
Pc_TPC_T0_181021,R2,18c,PcB,T0,1387,1,1387
Pc_TPC_T0_181021,R3,18c,PcB,T0,1499,1,1499
Pc_TPC_T0_181021,R1,20c,PcB,T0,1498,1,1498
Pc_TPC_T0_181021,R2,20c,PcB,T0,1510,1,1510
Pc_TPC_T0_181021,R3,20c,PcB,T0,1401,1,1401
Pc_TPC_T0_181021,R1,23c,PcB,T0,1500,1,1500
Pc_TPC_T0_181021,R2,23c,PcB,T0,1486,1,1486
Pc_TPC_T0_181021,R3,23c,PcB,T0,1523,1,1523
Pc_TPC_T0_181021,R1,25c,PcB,T0,1248,1,1248
Pc_TPC_T0_181021,R2,25c,PcB,T0,1425,1,1425
Pc_TPC_T0_181021,R3,25c,PcB,T0,1367,1,1367
Pc_TPC_T0_181021,R1,27c,PcB,T0,1160,1,1160
Pc_TPC_T0_181021,R2,27c,PcB,T0,1408,1,1408
Pc_TPC_T0_181021,R3,27c,PcB,T0,1252,1,1252
Pc_TPC_T0_181021,R1,29c,PcB,T0,1297,1,1297
Pc_TPC_T0_181021,R2,29c,PcB,T0,1404,1,1404
Pc_TPC_T0_181021,R3,29c,PcB,T0,1469,1,1469
Pc_TPC_T0_181021,R1,30c,PcB,T0,503,1,503
Pc_TPC_T0_181021,R2,30c,PcB,T0,518,1,518
Pc_TPC_T0_181021,R3,30c,PcB,T0,463,1,463
Pc_TPC_T1_191021,R1,15c,PcB,T1,1499,1,1499
Pc_TPC_T1_191021,R2,15c,PcB,T1,1585,1,1585
Pc_TPC_T1_191021,R3,15c,PcB,T1,1521,1,1521
Pc_TPC_T1_191021,R1,18c,PcB,T1,1800,1,1800
Pc_TPC_T1_191021,R2,18c,PcB,T1,1590,1,1590
Pc_TPC_T1_191021,R3,18c,PcB,T1,1864,1,1864
Pc_TPC_T1_191021,R1,20c,PcB,T1,1955,1,1955
Pc_TPC_T1_191021,R2,20c,PcB,T1,1803,1,1803
Pc_TPC_T1_191021,R3,20c,PcB,T1,1659,1,1659
Pc_TPC_T1_191021,R1,23c,PcB,T1,1979,1,1979
Pc_TPC_T1_191021,R2,23c,PcB,T1,2054,1,2054
Pc_TPC_T1_191021,R3,23c,PcB,T1,2072,1,2072
Pc_TPC_T1_191021,R1,25c,PcB,T1,1420,1,1420
Pc_TPC_T1_191021,R2,25c,PcB,T1,1736,1,1736
Pc_TPC_T1_191021,R3,25c,PcB,T1,1916,1,1916
Pc_TPC_T1_191021,R1,27c,PcB,T1,1756,1,1756
Pc_TPC_T1_191021,R2,27c,PcB,T1,1479,1,1479
Pc_TPC_T1_191021,R3,27c,PcB,T1,1746,1,1746
Pc_TPC_T1_191021,R1,29c,PcB,T1,1631,1,1631
Pc_TPC_T1_191021,R2,29c,PcB,T1,1668,1,1668
Pc_TPC_T1_191021,R3,29c,PcB,T1,1939,1,1939
Pc_TPC_T1_191021,R1,30c,PcB,T1,546,1,546
Pc_TPC_T1_191021,R2,30c,PcB,T1,539,1,539
Pc_TPC_T1_191021,R3,30c,PcB,T1,504,1,504
Pc_TPC_T2_201021,R1,15c,PcB,T2,1708,1,1708
Pc_TPC_T2_201021,R2,15c,PcB,T2,1579,1,1579
Pc_TPC_T2_201021,R3,15c,PcB,T2,1506,1,1506
Pc_TPC_T2_201021,R1,18c,PcB,T2,2260,1,2260
Pc_TPC_T2_201021,R2,18c,PcB,T2,1967,1,1967
Pc_TPC_T2_201021,R3,18c,PcB,T2,2320,1,2320
Pc_TPC_T2_201021,R1,20c,PcB,T2,3197,1,3197
Pc_TPC_T2_201021,R2,20c,PcB,T2,2856,1,2856
Pc_TPC_T2_201021,R3,20c,PcB,T2,2687,1,2687
Pc_TPC_T2_201021,R1,23c,PcB,T2,2927,1,2927
Pc_TPC_T2_201021,R2,23c,PcB,T2,3543,1,3543
Pc_TPC_T2_201021,R3,23c,PcB,T2,3820,1,3820
Pc_TPC_T2_201021,R1,25c,PcB,T2,2082,1,2082
Pc_TPC_T2_201021,R2,25c,PcB,T2,3064,1,3064
Pc_TPC_T2_201021,R3,25c,PcB,T2,3562,1,3562
Pc_TPC_T2_201021,R1,27c,PcB,T2,2693,1,2693
Pc_TPC_T2_201021,R2,27c,PcB,T2,1862,1,1862
Pc_TPC_T2_201021,R3,27c,PcB,T2,2675,1,2675
Pc_TPC_T2_201021,R1,29c,PcB,T2,1941,1,1941
Pc_TPC_T2_201021,R2,29c,PcB,T2,1986,1,1986
Pc_TPC_T2_201021,R3,29c,PcB,T2,2195,1,2195
Pc_TPC_T2_201021,R1,30c,PcB,T2,578,1,578
Pc_TPC_T2_201021,R2,30c,PcB,T2,463,1,463
Pc_TPC_T2_201021,R3,30c,PcB,T2,453,1,453
Pc_TPC_T3_211021,R1,15c,PcB,T3,2076,1,2076
Pc_TPC_T3_211021,R2,15c,PcB,T3,1963,1,1963
Pc_TPC_T3_211021,R3,15c,PcB,T3,1835,1,1835
Pc_TPC_T3_211021,R1,18c,PcB,T3,2992,1,2992
Pc_TPC_T3_211021,R2,18c,PcB,T3,2627,1,2627
Pc_TPC_T3_211021,R3,18c,PcB,T3,3082,1,3082
Pc_TPC_T3_211021,R1,20c,PcB,T3,4701,1,4701
Pc_TPC_T3_211021,R2,20c,PcB,T3,4633,1,4633
Pc_TPC_T3_211021,R3,20c,PcB,T3,3853,1,3853
Pc_TPC_T3_211021,R1,23c,PcB,T3,4350,1,4350
Pc_TPC_T3_211021,R2,23c,PcB,T3,5471,1,5471
Pc_TPC_T3_211021,R3,23c,PcB,T3,5666,1,5666
Pc_TPC_T3_211021,R1,25c,PcB,T3,3806,1,3806
Pc_TPC_T3_211021,R2,25c,PcB,T3,5142,1,5142
Pc_TPC_T3_211021,R3,25c,PcB,T3,6681,1,6681
Pc_TPC_T3_211021,R1,27c,PcB,T3,3971,1,3971
Pc_TPC_T3_211021,R2,27c,PcB,T3,2911,1,2911
Pc_TPC_T3_211021,R3,27c,PcB,T3,3226,1,3226
Pc_TPC_T3_211021,R1,29c,PcB,T3,2398,1,2398
Pc_TPC_T3_211021,R2,29c,PcB,T3,2527,1,2527
Pc_TPC_T3_211021,R3,29c,PcB,T3,3193,1,3193
Pc_TPC_T3_211021,R1,30c,PcB,T3,502,1,502
Pc_TPC_T3_211021,R2,30c,PcB,T3,497,1,497
Pc_TPC_T3_211021,R3,30c,PcB,T3,489,1,489
Pc_TPC_T4_221021,R1,15c,PcB,T4,2434,1,2434
Pc_TPC_T4_221021,R2,15c,PcB,T4,2145,1,2145
Pc_TPC_T4_221021,R3,15c,PcB,T4,1992,1,1992
Pc_TPC_T4_221021,R1,18c,PcB,T4,4418,1,4418
Pc_TPC_T4_221021,R2,18c,PcB,T4,3467,1,3467
