File ID,Rep ID,Spp,Orig Temp,Treatment ,,Count,,,Date,,,,,,,,
PcD_031221,R1,PcD,C,23,,"1,369",,,03/12/2021,,,,,,,,
PcD_031221,R2,PcD,C,23,,"1,456",,,03/12/2021,,,,,,,,
PcD_031221,R3,PcD,C,23,,"1,364",,,03/12/2021,,,,,,,,
PcD_031221,R4,PcD,C,23,,"1,283",,,03/12/2021,,,,,,,,
PcD_031221,R5,PcD,C,23,,"1,398",,,03/12/2021,,,,,,,,
PcD_031221,R6,PcD,C,23,,"1,374",,,03/12/2021,,,,,,,,
PcD_031221,R1,PcD,C,27,,"1,340",,,03/12/2021,,,,,,,,
PcD_031221,R2,PcD,C,27,,"1,409",,,03/12/2021,,,,,,,,
PcD_031221,R3,PcD,C,27,,"1,390",,,03/12/2021,,,,,,,,
PcD_031221,R4,PcD,C,27,,"1,358",,,03/12/2021,,,,,,,,
PcD_031221,R5,PcD,C,27,,"1,438",,,03/12/2021,,,,,,,,
PcD_031221,R6,PcD,C,27,,"1,358",,,03/12/2021,,,,,,,,
PcD_101221,R1,PcD,C,23,,"19,390",,,10/12/2021,,,,,,,,
PcD_101221,R2,PcD,C,23,,"17,477",,,10/12/2021,,,,,,,,
PcD_101221,R3,PcD,C,23,,"14,116",,,10/12/2021,,,,,,,,
PcD_101221,R4,PcD,C,23,,"20,810",,,10/12/2021,,,,,,,,
PcD_101221,R5,PcD,C,23,,"20,922",,,10/12/2021,,,,,,,,
PcD_101221,R6,PcD,C,23,,"16,968",,,10/12/2021,,,,,,,,
PcD_101221,R1,PcD,C,27,,"1,986",,,10/12/2021,,,,,,,,
PcD_101221,R2,PcD,C,27,,"3,552",,,10/12/2021,,,,,,,,
PcD_101221,R3,PcD,C,27,,"3,584",,,10/12/2021,,,,,,,,
PcD_101221,R4,PcD,C,27,,"4,705",,,10/12/2021,,,,,,,,
PcD_101221,R5,PcD,C,27,,"4,106",,,10/12/2021,,,,,,,,
PcD_101221,R6,PcD,C,27,,"2,217",,,10/12/2021,,,,,,,,
PcD_161221,R1,PcD,C,23,,"16,673",,,16/12/2021,,,,,,,,
PcD_161221,R2,PcD,C,23,,"22,067",,,16/12/2021,,,,,,,,
PcD_161221,R3,PcD,C,23,,"18,667",,,16/12/2021,,,,,,,,
PcD_161221,R4,PcD,C,23,,"19,166",,,16/12/2021,,,,,,,,
PcD_161221,R5,PcD,C,23,,"22,264",,,16/12/2021,,,,,,,,
PcD_161221,R6,PcD,C,23,,"19,922",,,16/12/2021,,,,,,,,
PcD_161221,R1,PcD,C,27,,"4,747",,,16/12/2021,,,,,,,,
PcD_161221,R2,PcD,C,27,,"9,273",,,16/12/2021,,,,,,,,
PcD_161221,R3,PcD,C,27,,"10,194",,,16/12/2021,,,,,,,,
PcD_161221,R4,PcD,C,27,,"15,540",,,16/12/2021,,,,,,,,
PcD_161221,R5,PcD,C,27,,"11,498",,,16/12/2021,,,,,,,,
PcD_161221,R6,PcD,C,27,,"5,937",,,16/12/2021,,,,,,,,
PcD_221221,R1,PcD,C,23,,"29,597",,,22/12/2021,,,,,,,,
PcD_221221,R2,PcD,C,23,,"32,541",,,22/12/2021,,,,,,,,
PcD_221221,R3,PcD,C,23,,"28,880",,,22/12/2021,,,,,,,,
PcD_221221,R4,PcD,C,23,,"26,008",,,22/12/2021,,,,,,,,
PcD_221221,R5,PcD,C,23,,"31,413",,,22/12/2021,,,,,,,,
PcD_221221,R6,PcD,C,23,,"29,855",,,22/12/2021,,,,,,,,
PcD_221221,R1,PcD,C,27,,na,,,22/12/2021,,,,,,,,
PcD_221221,R2,PcD,C,27,,na,,,22/12/2021,,,,,,,,
PcD_221221,R3,PcD,C,27,,na,,,22/12/2021,,,,,,,,
PcD_221221,R4,PcD,C,27,,na,,,22/12/2021,,,,,,,,
PcD_221221,R5,PcD,C,27,,na,,,22/12/2021,,,,,,,,
PcD_221221,R6,PcD,C,27,,na,,,22/12/2021,,,,,,,,
PcD_301221,R1,PcD,C,23,,"68,990",,,30/12/2021,,,,,,,,
PcD_301221,R2,PcD,C,23,,"68,398",,,30/12/2021,,,,,,,,
PcD_301221,R3,PcD,C,23,,"69,546",,,30/12/2021,,,,,,,,
PcD_301221,R4,PcD,C,23,,"67,624",,,30/12/2021,,,,,,,,
PcD_301221,R5,PcD,C,23,,"58,545",,,30/12/2021,,,,,,,,
PcD_301221,R6,PcD,C,23,,"57,105",,,30/12/2021,,,,,,,,
PcD_301221,R1,PcD,C,27,,"18,737",,,30/12/2021,,,,,,,,
PcD_301221,R2,PcD,C,27,,"7,461",,,30/12/2021,,,,,,,,
PcD_301221,R3,PcD,C,27,,"16,405",,,30/12/2021,,,,,,,,
PcD_301221,R4,PcD,C,27,,"19,211",,,30/12/2021,,,,,,,,
PcD_301221,R5,PcD,C,27,,"9,558",,,30/12/2021,,,,,,,,
PcD_301221,R6,PcD,C,27,,"11,714",,,30/12/2021,,,,,,,,
PcD_060122,R1,PcD,C,23,,"72,303",,,06/01/2022,,,,,,,,
PcD_060122,R2,PcD,C,23,,"101,104",,,06/01/2022,,,,,,,,
PcD_060122,R3,PcD,C,23,,"65,590",,,06/01/2022,,,,,,,,
PcD_060122,R4,PcD,C,23,,"74,336",,,06/01/2022,,,,,,,,
PcD_060122,R5,PcD,C,23,,"73,065",,,06/01/2022,,,,,,,,
PcD_060122,R6,PcD,C,23,,"69,285",,,06/01/2022,,,,,,,,
PcD_060122,R1,PcD,C,27,,"5,959",,,06/01/2022,,,,,,,,
PcD_060122,R2,PcD,C,27,,"5,789",,,06/01/2022,,,,,,,,
PcD_060122,R3,PcD,C,27,,"4,528",,,06/01/2022,,,,,,,,
PcD_060122,R4,PcD,C,27,,"6,105",,,06/01/2022,,,,,,,,
PcD_060122,R5,PcD,C,27,,"4,264",,,06/01/2022,,,,,,,,
PcD_060122,R6,PcD,C,27,,"6,434",,,06/01/2022,,,,,,,,
PcD_130122,R1,PcD,C,23,,"54,796",,,13/01/2022,,,,,,,,
PcD_130122,R2,PcD,C,23,,"67,168",,,13/01/2022,,,,,,,,
PcD_130122,R3,PcD,C,23,,"66,831",,,13/01/2022,,,,,,,,
PcD_130122,R4,PcD,C,23,,"62,229",,,13/01/2022,,,,,,,,
PcD_130122,R5,PcD,C,23,,"57,677",,,13/01/2022,,,,,,,,
PcD_130122,R6,PcD,C,23,,"66,655",,,13/01/2022,,,,,,,,
PcD_130122,R1,PcD,C,27,,"9,535",,,13/01/2022,,,,,,,,
PcD_130122,R2,PcD,C,27,,"7,544",,,13/01/2022,,,,,,,,
PcD_130122,R3,PcD,C,27,,"4,988",,,13/01/2022,,,,,,,,
PcD_130122,R4,PcD,C,27,,"7,058.00",,,13/01/2022,,,,,,,,
PcD_130122,R5,PcD,C,27,,"6,569.00",,,13/01/2022,,,,,,,,
PcD_130122,R6,PcD,C,27,,"4,561.00",,,13/01/2022,,,,,,,,
PcD_200122,R1,PcD,C,23,,"55,698",,,20/01/2022,,,,,,,,
PcD_200122,R2,PcD,C,23,,"50,586",,,20/01/2022,,,,,,,,
