File ID,Rep ID,Spp,Orig Temp,Treatment ,,Timepoint,Cell count,Dilution ,Actual Cell count,,,,,,Cell,,,,
PcD_Recip_T0_030222,R1,PcD,23c,Control,,T0,1000,1,1000,,,,,,A01,,,,
PcD_Recip_T0_030222,R2,PcD,23c,Control,,T0 ,1000,1,1000,,,,,,A02,,,,
PcD_Recip_T0_030222,R3,PcD,23c,Control,,T0,1000,1,1000,,,,,,A03,,,,
PcD_Recip_T0_030222,R4,PcD,23c,Control,,T0,1000,1,1000,,,,,,A04,,,,
PcD_Recip_T0_030222,R5,PcD,23c,Control,,T0,1000,1,1000,,,,,,A05,,,,
PcD_Recip_T0_030222,R6,PcD,23c,Control,,T0,1000,1,1000,,,,,,A06,,,,
PcD_Recip_T0_030222,R1,PcD,27c,Control,,T0,1000,1,1000,,,,,,A07,,,,
PcD_Recip_T0_030222,R2,PcD,27c,Control,,T0,1000,1,1000,,,,,,A08,,,,
PcD_Recip_T0_030222,R3,PcD,27c,Control,,T0,1000,1,1000,,,,,,A09,,,,
PcD_Recip_T0_030222,R4,PcD,27c,Control,,T0,1000,1,1000,,,,,,A10,,,,
PcD_Recip_T0_030222,R5,PcD,27c,Control,,T0,1000,1,1000,,,,,,A11,,,,
PcD_Recip_T0_030222,R6,PcD,27c,Control,,T0,1000,1,1000,,,,,,A12,,,,
PcD_Recip_T0_030222,R1,PcD,23c,recip,27,T0,1000,1,1000,,,,,,B01,,,,
PcD_Recip_T0_030222,R2,PcD,23c,recip,27,T0,1000,1,1000,,,,,,B02,,,,
PcD_Recip_T0_030222,R3,PcD,23c,recip,27,T0,1000,1,1000,,,,,,B03,,,,
PcD_Recip_T0_030222,R4,PcD,23c,recip,27,T0,1000,1,1000,,,,,,B04,,,,
PcD_Recip_T0_030222,R5,PcD,23c,recip,27,T0,1000,1,1000,,,,,,B05,,,,
PcD_Recip_T0_030222,R6,PcD,23c,recip,27,T0,1000,1,1000,,,,,,B06,,,,
PcD_Recip_T0_030222,R1,PcD,27c,recip,23,T0,1000,1,1000,,,,,,B07,,,,
PcD_Recip_T0_030222,R2,PcD,27c,recip,23,T0,1000,1,1000,,,,,,B08,,,,
PcD_Recip_T0_030222,R3,PcD,27c,recip,23,T0,1000,1,1000,,,,,,B09,,,,
PcD_Recip_T0_030222,R4,PcD,27c,recip,23,T0,1000,1,1000,,,,,,B10,,,,
PcD_Recip_T0_030222,R5,PcD,27c,recip,23,T0,1000,1,1000,,,,,,B11,,,,
PcD_Recip_T0_030222,R6,PcD,27c,recip,23,T0,1000,1,1000,,,,,,B12,,,,
PcD_Recip_T1_040222,R1,PcD,23c,Control,,T1,"2,827",1,2827,,,,,,A01,,,,
PcD_Recip_T1_040222,R2,PcD,23c,Control,,T1,"1,449",1,1449,,,,,,A02,,,,
PcD_Recip_T1_040222,R3,PcD,23c,Control,,T1,"2,299",1,2299,,,,,,A03,,,,
PcD_Recip_T1_040222,R4,PcD,23c,Control,,T1,"3,494",1,3494,,,,,,A04,,,,
PcD_Recip_T1_040222,R5,PcD,23c,Control,,T1,"3,777",1,3777,,,,,,A05,,,,
PcD_Recip_T1_040222,R6,PcD,23c,Control,,T1,"3,751",1,3751,,,,,,A06,,,,
PcD_Recip_T1_040222,R1,PcD,27c,Control,,T1,"5,617",1,5617,,,,,,A07,,,,
PcD_Recip_T1_040222,R2,PcD,27c,Control,,T1,"5,131",1,5131,,,,,,A08,,,,
PcD_Recip_T1_040222,R3,PcD,27c,Control,,T1,"4,996",1,4996,,,,,,A09,,,,
PcD_Recip_T1_040222,R4,PcD,27c,Control,,T1,"5,001",1,5001,,,,,,A10,,,,
PcD_Recip_T1_040222,R5,PcD,27c,Control,,T1,"5,359",1,5359,,,,,,A11,,,,
PcD_Recip_T1_040222,R6,PcD,27c,Control,,T1,"1,203",1,1203,,,,,,A12,,,,
PcD_Recip_T1_040222,R1,PcD,23c,recip,27,T1,"5,407",1,5407,,,,,,B01,,,,
PcD_Recip_T1_040222,R2,PcD,23c,recip,27,T1,"5,102",1,5102,,,,,,B02,,,,
PcD_Recip_T1_040222,R3,PcD,23c,recip,27,T1,"5,242",1,5242,,,,,,B03,,,,
PcD_Recip_T1_040222,R4,PcD,23c,recip,27,T1,"5,189",1,5189,,,,,,B04,,,,
PcD_Recip_T1_040222,R5,PcD,23c,recip,27,T1,"5,337",1,5337,,,,,,B05,,,,
PcD_Recip_T1_040222,R6,PcD,23c,recip,27,T1,"1,239",1,1239,,,,,,B06,,,,
PcD_Recip_T1_040222,R1,PcD,27c,recip,23,T1,"1,963",1,1963,,,,,,B07,,,,
PcD_Recip_T1_040222,R2,PcD,27c,recip,23,T1,"2,470",1,2470,,,,,,B08,,,,
PcD_Recip_T1_040222,R3,PcD,27c,recip,23,T1,"3,268",1,3268,,,,,,B09,,,,
PcD_Recip_T1_040222,R4,PcD,27c,recip,23,T1,"3,345",1,3345,,,,,,B10,,,,
PcD_Recip_T1_040222,R5,PcD,27c,recip,23,T1,"3,506",1,3506,,,,,,B11,,,,
PcD_Recip_T1_040222,R6,PcD,27c,recip,23,T1,"3,645",1,3645,,,,,,B12,,,,
PcD_Recip_T2_050222,R1,PcD,23c,Control,,T2,"5,206",1,5206,,,,,,A01,,,,
PcD_Recip_T2_050222,R2,PcD,23c,Control,,T2,"2,263",1,2263,,,,,,A02,,,,
PcD_Recip_T2_050222,R3,PcD,23c,Control,,T2,"4,148",1,4148,,,,,,A03,,,,
PcD_Recip_T2_050222,R4,PcD,23c,Control,,T2,"6,367",1,6367,,,,,,A04,,,,
PcD_Recip_T2_050222,R5,PcD,23c,Control,,T2,"6,807",1,6807,,,,,,A05,,,,
PcD_Recip_T2_050222,R6,PcD,23c,Control,,T2,"6,902",1,6902,,,,,,A06,,,,
PcD_Recip_T2_050222,R1,PcD,27c,Control,,T2,"12,650",1,12650,,,,,,A07,,,,
PcD_Recip_T2_050222,R2,PcD,27c,Control,,T2,"10,485",1,10485,,,,,,A08,,,,
PcD_Recip_T2_050222,R3,PcD,27c,Control,,T2,"9,728",1,9728,,,,,,A09,,,,
PcD_Recip_T2_050222,R4,PcD,27c,Control,,T2,"11,851",1,11851,,,,,,A10,,,,
PcD_Recip_T2_050222,R5,PcD,27c,Control,,T2,"11,762",1,11762,,,,,,A11,,,,
PcD_Recip_T2_050222,R6,PcD,27c,Control,,T2,"1,327",1,1327,,,,,,A12,,,,
PcD_Recip_T2_050222,R1,PcD,23c,recip,27,T2,"10,961",1,10961,,,,,,B01,,,,
PcD_Recip_T2_050222,R2,PcD,23c,recip,27,T2,"11,012",1,11012,,,,,,B02,,,,
PcD_Recip_T2_050222,R3,PcD,23c,recip,27,T2,"11,001",1,11001,,,,,,B03,,,,
PcD_Recip_T2_050222,R4,PcD,23c,recip,27,T2,"10,659",1,10659,,,,,,B04,,,,
PcD_Recip_T2_050222,R5,PcD,23c,recip,27,T2,"11,077",1,11077,,,,,,B05,,,,
PcD_Recip_T2_050222,R6,PcD,23c,recip,27,T2,"1,679",1,1679,,,,,,B06,,,,
PcD_Recip_T2_050222,R1,PcD,27c,recip,23,T2,"2,669",1,2669,,,,,,B07,,,,
PcD_Recip_T2_050222,R2,PcD,27c,recip,23,T2,"3,650",1,3650,,,,,,B08,,,,
PcD_Recip_T2_050222,R3,PcD,27c,recip,23,T2,"4,970",1,4970,,,,,,B09,,,,
PcD_Recip_T2_050222,R4,PcD,27c,recip,23,T2,"4,706",1,4706,,,,,,B10,,,,
PcD_Recip_T2_050222,R5,PcD,27c,recip,23,T2,"5,052",1,5052,,,,,,B11,,,,
PcD_Recip_T2_050222,R6,PcD,27c,recip,23,T2,"5,581",1,5581,,,,,,B12,,,,
PcD_Recip_T3_060222,R1,PcD,23c,Control,,T3,"7,874",1,7874,,,,,,A01,,,,
PcD_Recip_T3_060222,R2,PcD,23c,Control,,T3,"3,154",1,3154,,,,,,A02,,,,
PcD_Recip_T3_060222,R3,PcD,23c,Control,,T3,"6,039",1,6039,,,,,,A03,,,,
PcD_Recip_T3_060222,R4,PcD,23c,Control,,T3,"9,280",1,9280,,,,,,A04,,,,
PcD_Recip_T3_060222,R5,PcD,23c,Control,,T3,"9,767",1,9767,,,,,,A05,,,,
PcD_Recip_T3_060222,R6,PcD,23c,Control,,T3,"10,021",1,10021,,,,,,A06,,,,
PcD_Recip_T3_060222,R1,PcD,27c,Control,,T3,"21,885",1,21885,,,,,,A07,,,,
PcD_Recip_T3_060222,R2,PcD,27c,Control,,T3,"18,728",1,18728,,,,,,A08,,,,
