"","d_name","rep_name","mod","aic","aicc","topt"
"1","lm","R1","modifiedgaussian_2006",-15.1437368444941,14.8562631555059,23.42
"2","lm","R2","modifiedgaussian_2006",-16.3148523329995,13.6851476670005,23.46
"3","lm","R3","modifiedgaussian_2006",-15.0530860025077,14.9469139974923,23.38
"4","lm1b","R1","modifiedgaussian_2006",-15.4680292500799,14.5319707499201,23.48
"5","lm1b","R2","modifiedgaussian_2006",-18.1383001387331,11.8616998612669,23.54
"6","lm1b","R3","modifiedgaussian_2006",-17.6399581552266,12.3600418447734,23.45
"7","lm1b10","R1","modifiedgaussian_2006",-14.7418389289414,15.2581610710586,23.48
"8","lm1b10","R2","modifiedgaussian_2006",-15.0987387996642,14.9012612003358,23.54
"9","lm1b10","R3","modifiedgaussian_2006",-16.3579074027718,13.6420925972282,23.54
"10","lm","R1","oneill_1972",-4.74322603323111,25.2567739667689,25.48
"11","lm","R2","oneill_1972",-5.74318233809949,24.2568176619005,23.03
"12","lm","R3","oneill_1972",-6.39911189740664,23.6008881025934,22.95
"13","lm1b","R1","oneill_1972",-6.36404900433991,23.6359509956601,25.91
"14","lm1b","R2","oneill_1972",-6.61959470048238,23.3804052995176,25.71
"15","lm1b","R3","oneill_1972",-5.56535850242312,24.4346414975769,25.53
"16","lm1b10","R1","oneill_1972",-7.40897341079603,22.591026589204,25.74
"17","lm1b10","R2","oneill_1972",-7.58522319746159,22.4147768025384,25.52
"18","lm1b10","R3","oneill_1972",-9.3754648161017,20.6245351838983,25.51
"19","lm","R1","thomas_2012",-9.70285835610055,20.2971416438995,23.6
"20","lm","R2","thomas_2012",-11.715075937306,18.284924062694,23.37
"21","lm","R3","thomas_2012",-12.4509042765825,17.5490957234175,23.1
"22","lm1b","R1","thomas_2012",-7.98875682674488,22.0112431732551,24.47
"23","lm1b","R2","thomas_2012",-12.2180277373114,17.7819722626886,24.26
"24","lm1b","R3","thomas_2012",-12.1328867859306,17.8671132140694,23.92
"25","lm1b10","R1","thomas_2012",-9.12985077506894,20.8701492249311,24.57
"26","lm1b10","R2","thomas_2012",-13.9612305248024,16.0387694751976,24.34
"27","lm1b10","R3","thomas_2012",-17.3749469623498,12.6250530376502,24.52
