"","d_name","rep_name","mod","aic","aicc","topt"
"1","lmer","R1","boatman_2017",-24.6181174572094,59.3818825427906,20.83
"2","lmer","R2","boatman_2017",-23.5143597972487,60.4856402027513,20.58
"3","lmer","R3","boatman_2017",-25.5793584934381,58.4206415065619,20.9
"4","lm","R1","boatman_2017",-24.33894947668,59.66105052332,20.72
"5","lm","R2","boatman_2017",-24.6176975154403,59.3823024845597,20.91
"6","lm","R3","boatman_2017",-24.7402927852856,59.2597072147144,20.76
"7","lmer1","R1","boatman_2017",-17.7397230593587,66.2602769406413,21.78
"8","lmer1","R2","boatman_2017",-18.5925469195,65.4074530805,21.88
"9","lmer1","R3","boatman_2017",-18.8405757537256,65.1594242462744,21.84
"10","lm1","R1","boatman_2017",-19.5270832936262,64.4729167063738,21.84
"11","lm1","R2","boatman_2017",-17.6156613706248,66.3843386293753,21.79
"12","lm1","R3","boatman_2017",-16.1485877024625,67.8514122975375,21.65
"13","lmer2","R1","boatman_2017",-19.3602241197131,64.6397758802869,21.98
"14","lmer2","R2","boatman_2017",-19.2518303200615,64.7481696799385,21.93
"15","lmer2","R3","boatman_2017",-18.8108198306893,65.1891801693107,21.87
"16","lm2","R1","boatman_2017",-20.4450945198814,63.5549054801186,21.96
"17","lm2","R2","boatman_2017",-18.3807281819172,65.6192718180828,21.81
"18","lm2","R3","boatman_2017",-17.8508098283529,66.1491901716471,21.81
"19","lmer3a","R1","boatman_2017",-13.8699815253294,70.1300184746706,21.71
"20","lmer3a","R2","boatman_2017",-11.4281830337185,72.5718169662815,21.5
"21","lmer3a","R3","boatman_2017",-13.7376058494269,70.2623941505731,21.75
"22","lm3a","R1","boatman_2017",-15.0840278790442,68.9159721209558,21.8
"23","lm3a","R2","boatman_2017",-13.6128288962053,70.3871711037947,21.78
"24","lm3a","R3","boatman_2017",-12.5790161655197,71.4209838344803,21.77
"25","lmer3b","R1","boatman_2017",-13.3196580346186,70.6803419653814,21.65
"26","lmer3b","R2","boatman_2017",-11.2726836540195,72.7273163459805,21.48
"27","lmer3b","R3","boatman_2017",-13.7783034468268,70.2216965531732,21.76
"28","lm3b","R1","boatman_2017",-14.177088424929,69.822911575071,21.64
"29","lm3b","R2","boatman_2017",-11.7276621116708,72.2723378883291,21.56
"30","lm3b","R3","boatman_2017",-9.46713531174115,74.5328646882589,21.36
"31","gr4","R1","boatman_2017",-16.7009665138094,67.2990334861907,21.71
"32","gr4","R2","boatman_2017",-14.6510490098692,69.3489509901308,21.61
"33","gr4","R3","boatman_2017",-14.7226292600419,69.2773707399581,21.69
"34","gr5a","R1","boatman_2017",-68.9603995473641,15.0396004526359,30
"35","gr5a","R2","boatman_2017",-44.4196848081888,39.5803151918112,30
"36","gr5a","R3","boatman_2017",-5.95018261202523,78.0498173879748,15
"37","gr6","R1","boatman_2017",-6.61697094201717,77.3830290579828,21.17
"38","gr6","R2","boatman_2017",0.850744603008188,84.8507446030082,15
"39","gr6","R3","boatman_2017",-7.68337720861697,76.316622791383,21.78
"40","gr7a","R1","boatman_2017",-16.4823232525679,67.5176767474321,21.71
"41","gr7a","R2","boatman_2017",-16.1646811734174,67.8353188265826,21.67
"42","gr7a","R3","boatman_2017",-18.6954551158125,65.3045448841875,22.44
"43","gr7b","R1","boatman_2017",-8.58361126236116,75.4163887376388,17.71
"44","gr7b","R2","boatman_2017",-1.58698495794291,82.4130150420571,21.03
"45","gr7b","R3","boatman_2017",1.97118642446382,85.9711864244638,20.88
"46","gr7b05","R1","boatman_2017",-15.8862623381518,68.1137376618482,22.73
"47","gr7b05","R2","boatman_2017",-12.7976713096658,71.2023286903342,22.69
"48","gr7b05","R3","boatman_2017",-13.7942441282263,70.2057558717737,22.91
"49","lmer","R1","sharpeschoolfull_1981",-21.8053634123989,Inf,18.6
"50","lmer","R2","sharpeschoolfull_1981",-21.6536527867457,Inf,18.6
"51","lmer","R3","sharpeschoolfull_1981",-21.5544095968131,Inf,18.56
"52","lm","R1","sharpeschoolfull_1981",-22.1327965040323,Inf,18.49
"53","lm","R2","sharpeschoolfull_1981",-21.1686149001008,Inf,18.51
"54","lm","R3","sharpeschoolfull_1981",-20.9514976358885,Inf,18.79
"55","lmer1","R1","sharpeschoolfull_1981",-34.9361890898025,Inf,23.64
"56","lmer1","R2","sharpeschoolfull_1981",-34.9098719088725,Inf,23.7
"57","lmer1","R3","sharpeschoolfull_1981",-33.2073567258168,Inf,23.78
"58","lm1","R1","sharpeschoolfull_1981",-36.6633170371366,Inf,23.63
"59","lm1","R2","sharpeschoolfull_1981",-34.5053283289717,Inf,23.7
"60","lm1","R3","sharpeschoolfull_1981",-31.1149560125,Inf,23.9
"61","lmer2","R1","sharpeschoolfull_1981",-35.993872697639,Inf,23.7
"62","lmer2","R2","sharpeschoolfull_1981",-35.5575549626378,Inf,23.75
"63","lmer2","R3","sharpeschoolfull_1981",-32.8800353927798,Inf,23.74
"64","lm2","R1","sharpeschoolfull_1981",-36.976754488917,Inf,23.6
"65","lm2","R2","sharpeschoolfull_1981",-34.9365740805654,Inf,23.69
"66","lm2","R3","sharpeschoolfull_1981",-31.4565922525984,Inf,23.88
"67","lmer3a","R1","sharpeschoolfull_1981",-32.3359367775362,Inf,23.84
"68","lmer3a","R2","sharpeschoolfull_1981",-32.4984588262057,Inf,23.89
"69","lmer3a","R3","sharpeschoolfull_1981",-32.6838231138871,Inf,23.78
"70","lm3a","R1","sharpeschoolfull_1981",-32.336324280847,Inf,23.68
"71","lm3a","R2","sharpeschoolfull_1981",-31.5474999067229,Inf,23.81
"72","lm3a","R3","sharpeschoolfull_1981",-32.394008589682,Inf,23.98
"73","lmer3b","R1","sharpeschoolfull_1981",-27.692320490837,Inf,23.89
