,d_name,rep_name,mod,aic,aicc,topt
1,lm,R1,modifiedgaussian_2006,-39.41000443,-9.410004428,20.64
10,lm,R1,oneill_1972,-28.31739472,1.682605278,21.4
19,lm,R1,thomas_2012,-28.34620132,1.653798682,21.47
28,lm,R1,deutsch_2008,-24.70278801,5.297211986,19.93
37,lm,R1,gaussian_1987,-19.78408685,-6.450753521,20.3
46,lm,R1,joehnk_2008,-22.89027383,61.10972617,20.12
55,lm,R1,johnsonlewin_1946,-23.61573118,6.384268816,22.88
64,lm,R1,lrf_1991,-24.81816384,5.181836162,20.43
73,lm,R1,pawar_2018,-23.52331465,6.476685351,23.05
82,lm,R1,weibull_1995,-23.59843468,6.401565321,21.19
2,lm,R2,modifiedgaussian_2006,-39.58353254,-9.583532543,20.56
11,lm,R2,oneill_1972,-28.05601047,1.943989526,21.32
20,lm,R2,thomas_2012,-28.17901162,1.820988379,21.45
29,lm,R2,deutsch_2008,-23.84819491,6.151805087,19.83
38,lm,R2,gaussian_1987,-19.58508728,-6.251753946,20.2
47,lm,R2,joehnk_2008,-19.92752066,64.07247934,20.42
56,lm,R2,johnsonlewin_1946,-24.97256901,5.027430987,22.94
65,lm,R2,lrf_1991,-23.91623695,6.083763053,20.31
74,lm,R2,pawar_2018,-24.95044982,5.049550183,23.02
83,lm,R2,weibull_1995,-23.4076969,6.592303102,21.1
3,lm,R3,modifiedgaussian_2006,-46.12068388,-16.12068388,20.55
12,lm,R3,oneill_1972,-30.62872443,-0.628724426,21.47
21,lm,R3,thomas_2012,-30.6206913,-0.620691305,21.46
30,lm,R3,deutsch_2008,-24.52731362,5.472686379,20.57
39,lm,R3,gaussian_1987,-19.091724,-5.758390662,20.28
48,lm,R3,joehnk_2008,-22.22614749,61.77385251,20.56
57,lm,R3,johnsonlewin_1946,-28.19200398,1.807996023,23.03
66,lm,R3,lrf_1991,-24.61579526,5.384204737,20.41
75,lm,R3,pawar_2018,-27.57531411,2.424685891,23.29
84,lm,R3,weibull_1995,-24.26579764,5.734202358,21.21
4,lm1b,R1,modifiedgaussian_2006,-22.84740916,7.152590836,20.76
13,lm1b,R1,oneill_1972,-20.69821866,9.30178134,22.17
22,lm1b,R1,thomas_2012,-22.73973841,7.260261595,22.36
31,lm1b,R1,deutsch_2008,-12.37519859,17.62480141,21.59
40,lm1b,R1,gaussian_1987,-11.75064905,1.582684283,21.09
49,lm1b,R1,joehnk_2008,-9.015611784,74.98438822,21.63
58,lm1b,R1,johnsonlewin_1946,-33.16192226,-3.161922261,24.02
67,lm1b,R1,lrf_1991,-12.47850856,17.52149144,21.56
76,lm1b,R1,pawar_2018,-34.70779731,-4.70779731,24.02
85,lm1b,R1,weibull_1995,-18.07876671,11.92123329,22.1
5,lm1b,R2,modifiedgaussian_2006,-22.58012785,7.419872148,20.74
14,lm1b,R2,oneill_1972,-18.87434965,11.12565035,22.17
23,lm1b,R2,thomas_2012,-20.96517604,9.034823961,22.33
32,lm1b,R2,deutsch_2008,-11.18888346,18.81111654,21.42
41,lm1b,R2,gaussian_1987,-11.65173234,1.681600995,21.08
50,lm1b,R2,joehnk_2008,-8.070121499,75.9298785,21.52
59,lm1b,R2,johnsonlewin_1946,-27.55988692,2.440113083,24.23
68,lm1b,R2,lrf_1991,-11.2406347,18.7593653,21.48
77,lm1b,R2,pawar_2018,-32.29263468,-2.29263468,24.05
86,lm1b,R2,weibull_1995,-17.23699612,12.76300388,22.08
6,lm1b,R3,modifiedgaussian_2006,-23.18210776,6.81789224,20.74
15,lm1b,R3,oneill_1972,-18.61411751,11.38588249,22.02
24,lm1b,R3,thomas_2012,-19.51951024,10.48048976,22.32
33,lm1b,R3,deutsch_2008,-12.15031652,17.84968348,21.49
42,lm1b,R3,gaussian_1987,-11.80863795,1.52469538,21.07
51,lm1b,R3,joehnk_2008,-9.496600874,74.50339913,21.36
60,lm1b,R3,johnsonlewin_1946,-30.78628301,-0.786283012,24.19
69,lm1b,R3,lrf_1991,-12.22207477,17.77792523,21.51
78,lm1b,R3,pawar_2018,-31.09138655,-1.091386552,24.23
87,lm1b,R3,weibull_1995,-16.97444627,13.02555373,22.07
7,lm1b10,R1,modifiedgaussian_2006,-22.18789822,7.812101781,20.71
16,lm1b10,R1,oneill_1972,-17.29112281,12.70887719,22.18
25,lm1b10,R1,thomas_2012,-18.33696621,11.66303379,22.33
34,lm1b10,R1,deutsch_2008,-11.09434621,18.90565379,21.63
43,lm1b10,R1,gaussian_1987,-10.98356344,2.349769895,21.05
52,lm1b10,R1,joehnk_2008,-8.485915753,75.51408425,21.33
61,lm1b10,R1,johnsonlewin_1946,-34.13061084,-4.130610841,24.34
70,lm1b10,R1,lrf_1991,-11.15698484,18.84301516,21.53
79,lm1b10,R1,pawar_2018,-35.865042,-5.865041997,24.25
88,lm1b10,R1,weibull_1995,-15.46756482,14.53243518,22.08
8,lm1b10,R2,modifiedgaussian_2006,-22.04048797,7.959512026,20.71
17,lm1b10,R2,oneill_1972,-17.19310585,12.80689415,22.13
26,lm1b10,R2,thomas_2012,-18.36363378,11.63636622,22.29
35,lm1b10,R2,deutsch_2008,-10.32854482,19.67145518,21.31
44,lm1b10,R2,gaussian_1987,-11.62410055,1.709232786,21.06
53,lm1b10,R2,joehnk_2008,-7.851883552,76.14811645,21.37
62,lm1b10,R2,johnsonlewin_1946,-25.63358558,4.366414416,25.81
71,lm1b10,R2,lrf_1991,-10.34595161,19.65404839,21.41
80,lm1b10,R2,pawar_2018,-29.62814161,0.371858393,24.24
89,lm1b10,R2,weibull_1995,-15.85255069,14.14744931,22.06
9,lm1b10,R3,modifiedgaussian_2006,-22.95776463,7.042235375,20.72
18,lm1b10,R3,oneill_1972,-16.72826698,13.27173302,22.05
27,lm1b10,R3,thomas_2012,-17.10841491,12.89158509,22.23
36,lm1b10,R3,deutsch_2008,-11.70446115,18.29553885,21.24
45,lm1b10,R3,gaussian_1987,-12.22276482,1.110568517,20.99
