"","d_name","rep_name","mod","aic","aicc","topt"
"1","lmer","R1","boatman_2017",-14.9417459796514,69.0582540203486,23.22
"2","lmer","R2","boatman_2017",-18.3797026183521,65.620297381648,23.34
"3","lmer","R3","boatman_2017",-20.8005034003632,63.1994965996368,23.38
"4","lm","R1","boatman_2017",-14.7968672163546,69.2031327836454,23.2
"5","lm","R2","boatman_2017",-17.698493143824,66.301506856176,23.29
"6","lm","R3","boatman_2017",-20.3050268699877,63.6949731300123,23.34
"7","lmer1","R1","boatman_2017",-14.5917222401551,69.4082777598449,23.76
"8","lmer1","R2","boatman_2017",-18.8498553549369,65.1501446450631,23.95
"9","lmer1","R3","boatman_2017",-26.1153530977134,57.8846469022866,23.82
"10","lm1","R1","boatman_2017",-11.8974320444404,72.1025679555596,23.77
"11","lm1","R2","boatman_2017",-21.7952987989327,62.2047012010673,23.77
"12","lm1","R3","boatman_2017",-38.7313377526748,45.2686622473252,24.05
"13","lmer2","R1","boatman_2017",-8.77475254105575,75.2252474589442,24.76
"14","lmer2","R2","boatman_2017",-18.4052785345861,65.5947214654139,24.15
"15","lmer2","R3","boatman_2017",-25.3007762723731,58.6992237276269,25.02
"16","lm2","R1","boatman_2017",-18.5598480539859,65.4401519460141,24.61
"17","lm2","R2","boatman_2017",-13.3627805116394,70.6372194883606,24.09
"18","lm2","R3","boatman_2017",-38.8080605508984,45.1919394491016,24.67
"19","lmer3a","R1","boatman_2017",-4.66931982041311,79.3306801795869,24.88
"20","lmer3a","R2","boatman_2017",-11.3918992199089,72.6081007800911,24.11
"21","lmer3a","R3","boatman_2017",-10.8270109954324,73.1729890045676,24.06
"22","lm3a","R1","boatman_2017",-10.0035535050092,73.9964464949908,24.14
"23","lm3a","R2","boatman_2017",-8.48466208511954,75.5153379148805,24.19
"24","lm3a","R3","boatman_2017",-13.4689934464512,70.5310065535488,24.25
"25","lmer3b","R1","boatman_2017",2.90565388594829,86.9056538859483,24.3
"26","lmer3b","R2","boatman_2017",-7.85089919502211,76.1491008049779,24.07
"27","lmer3b","R3","boatman_2017",3.56631782816583,87.5663178281658,23.92
"28","lm3b","R1","boatman_2017",3.19008254910569,87.1900825491057,24.01
"29","lm3b","R2","boatman_2017",-7.69946794392807,76.3005320560719,24.22
"30","lm3b","R3","boatman_2017",-0.143259339212314,83.8567406607877,22.83
"31","gr4","R1","boatman_2017",-8.725086597511,75.274913402489,24.39
"32","gr4","R2","boatman_2017",-26.2632038110089,57.7367961889911,24.49
"33","gr4","R3","boatman_2017",-32.6381431934642,51.3618568065358,24.65
"34","gr5a","R1","boatman_2017",16.3146558012246,100.314655801225,28.09
"35","gr5a","R2","boatman_2017",16.4390178994314,100.439017899431,28.4
"36","gr5a","R3","boatman_2017",34.8409127310815,118.840912731081,27.8
"37","gr5b","R1","boatman_2017",-16.0166147908025,67.9833852091975,24.97
"38","gr5b","R2","boatman_2017",3.42335225898504,87.423352258985,23.53
