"","d_name","spp","mod","aic","aicc","topt"
"1","lm","PcB","modifiedgaussian_2006",-65.9713447069201,-62.6380113735868,23.42
"2","lm","PcD","modifiedgaussian_2006",-140.282280083697,-136.948946750364,20.58
"3","lm13","PcB","modifiedgaussian_2006",-69.7039168366257,-66.3705835032924,23.49
"4","lm13","PcD","modifiedgaussian_2006",-88.3484202093396,-85.0150868760063,20.75
"5","lm10","PcB","modifiedgaussian_2006",-64.8023241993191,-61.4689908659858,23.52
"6","lm10","PcD","modifiedgaussian_2006",-86.9574428236095,-83.6241094902762,20.71
"7","lm","PcB","oneill_1972",-35.9464581513466,-32.6131248180133,23.02
"8","lm","PcD","oneill_1972",-105.898602988225,-102.565269654891,21.31
"9","lm13","PcB","oneill_1972",-38.2314599811101,-34.8981266477767,25.71
"10","lm13","PcD","oneill_1972",-78.4562037118535,-75.1228703785202,22.06
"11","lm10","PcB","oneill_1972",-43.5142673427739,-40.1809340094406,25.61
"12","lm10","PcD","oneill_1972",-71.8846033003269,-68.5512699669936,22.13
"13","lm","PcB","thomas_2012",-53.2301170459873,-49.896783712654,23.36
"14","lm","PcD","thomas_2012",-106.286596090065,-102.953262756732,21.42
"15","lm13","PcB","thomas_2012",-50.809025655667,-47.4756923223336,24.2
"16","lm13","PcD","thomas_2012",-82.618893043096,-79.2855597097627,22.34
"17","lm10","PcB","thomas_2012",-57.0377429755845,-53.7044096422511,24.47
"18","lm10","PcD","thomas_2012",-74.4473782293596,-71.1140448960263,22.28
"19","lm","PcB","deutsch_2008",-44.9090614958982,-41.5757281625649,21.8
"20","lm","PcD","deutsch_2008",-92.490113038533,-89.1567797051996,20.16
"21","lm13","PcB","deutsch_2008",-41.8467743890241,-38.5134410556908,25.21
"22","lm13","PcD","deutsch_2008",-55.6261618570389,-52.2928285237056,21.5
"23","lm10","PcB","deutsch_2008",-48.7779375015534,-45.44460416822,25.26
"24","lm10","PcD","deutsch_2008",-52.4059403625197,-49.0726070291864,21.41
"25","lm","PcB","gaussian_1987",-37.9952037676701,-35.8899406097754,22.98
"26","lm","PcD","gaussian_1987",-74.3138132998894,-72.2085501419946,20.26
"27","lm13","PcB","gaussian_1987",-32.1459590676233,-30.0406959097286,23.27
"28","lm13","PcD","gaussian_1987",-51.1874683957669,-49.0822052378722,21.08
"29","lm10","PcB","gaussian_1987",-34.0273223338751,-31.9220591759804,23.34
"30","lm10","PcD","gaussian_1987",-49.4637070327082,-47.3584438748134,21.03
"31","lm","PcB","joehnk_2008",-51.3937858177866,-46.4526093471984,23.42
"32","lm","PcD","joehnk_2008",-88.8424708887232,-83.901294418135,20.58
"33","lm13","PcB","joehnk_2008",-50.9061113667942,-45.964934896206,24.53
"34","lm13","PcD","joehnk_2008",-51.6082622980114,-46.6670858274231,21.43
"35","lm10","PcB","joehnk_2008",-58.2053937972633,-53.2642173266751,24.77
"36","lm10","PcD","joehnk_2008",-49.1232291943966,-44.1820527238083,21.16
"37","lm","PcB","johnsonlewin_1946",34.2025004641218,37.5358337974552,15
"38","lm","PcD","johnsonlewin_1946",-95.6645064939567,-92.3311731606233,22.95
"39","lm13","PcB","johnsonlewin_1946",38.5647764822877,41.898109815621,15
"40","lm13","PcD","johnsonlewin_1946",-114.397440388143,-111.06410705481,24.07
"41","lm10","PcB","johnsonlewin_1946",37.8375613269698,41.1708946603031,24.49
"42","lm10","PcD","johnsonlewin_1946",-111.070636662552,-107.737303329219,24.25
"43","lm","PcB","lrf_1991",-95.098621131969,-91.7652877986357,29.36
"44","lm","PcD","lrf_1991",-93.0000901975341,-89.6667568642008,20.37
"45","lm13","PcB","lrf_1991",-73.6487126889538,-70.3153793556205,29.34
"46","lm13","PcD","lrf_1991",-55.8502698639931,-52.5169365306597,21.52
"47","lm10","PcB","lrf_1991",-61.0066024138609,-57.6732690805275,29.37
"48","lm10","PcD","lrf_1991",-52.5917992098158,-49.2584658764825,21.46
"49","lm","PcB","pawar_2018",-27.1088855917839,-23.7755522584506,24.54
"50","lm","PcD","pawar_2018",-95.4907491464628,-92.1574158131294,23.06
"51","lm13","PcB","pawar_2018",-26.2617954242454,-22.9284620909121,24.89
"52","lm13","PcD","pawar_2018",-119.086148846509,-115.752815513176,24.02
"53","lm10","PcB","pawar_2018",-30.6140463656213,-27.280713032288,25.07
"54","lm10","PcD","pawar_2018",-113.907088846507,-110.573755513174,24.18
"55","lm","PcB","weibull_1995",-39.1858722361232,-35.8525389027899,22.49
"56","lm","PcD","weibull_1995",-90.9507220981903,-87.617388764857,21.17
"57","lm13","PcB","weibull_1995",-31.7518100970381,-28.4184767637047,23.49
"58","lm13","PcD","weibull_1995",-72.1589295826713,-68.825596249338,22.08
"59","lm10","PcB","weibull_1995",-35.5672249213745,-32.2338915880412,24.48
"60","lm10","PcD","weibull_1995",-66.7856459221976,-63.4523125888643,22.04
